Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD),Duration
143385276,07/12/2023 10:40,07/12/2023 16:00,CADCHF,Buy,0.240,0.00000,0.00000,0.66396,0.66130,0.0000,0.0,-26.6,-73.35,-1.67,Buy Baby Termite: CADCHF,12345.0,84.4,4h 30m,45.8,3.58,10.0,27.6,-35.8,-98.80799999999998,21.8,20.1,-36.6,-101.02,0 days 05:20:50
143226802,07/06/2023 17:05,07/12/2023 16:00,CADCHF,Buy,0.080,0.00000,0.00000,0.67316,0.66131,0.0000,0.0,-118.5,-108.92,-2.41,Buy Baby Termite: CADCHF,12345.0,0.0,0s,127.0,128.21,0.0,0.0,-127.0,-116.84,0.0,6.7,-118.5,-109.02,5 days 22:55:53
143386280,07/12/2023 12:15,07/12/2023 15:32,NZDCHF,Buy,0.080,0.00000,0.00000,0.54410,0.54606,0.0000,0.0,19.6,17.82,0.4,Buy Baby Termite: NZDCHF,12345.0,12.9,25m,24.6,1.19,19.6,17.836000000000002,-23.4,-21.294,45.6,100.0,0.0,0.0,0 days 03:17:22
143323360,07/10/2023 08:30,07/10/2023 12:11,USDCHF,Sell,0.080,0.00000,0.00000,0.89116,0.88911,0.0000,0.0,20.5,18.35,0.41,Sell Baby Termite: USDCHF,12345.0,87.4,3h 13m,14.9,0.18,22.1,19.89,-4.0,-3.6,84.7,93.9,-1.6,-1.44,0 days 03:41:33
143221583,07/06/2023 15:10,07/06/2023 15:15,EURUSD,Sell,0.080,0.00000,0.00000,1.08982,1.08758,0.0000,0.0,22.4,17.92,0.4,Sell Baby Termite: EURUSD,12345.0,50.0,2m,1.0,0.04,22.4,17.919999999999998,-1.0,-0.8,95.7,100.0,0.0,0.0,0 days 00:05:21
143216831,07/06/2023 10:25,07/06/2023 11:17,EURUSD,Sell,0.080,0.00000,0.00000,1.08718,1.08498,0.0000,0.0,22.0,17.6,0.4,Sell Baby Termite: EURUSD,12345.0,98.1,51m,6.8,0.02,22.2,17.76,-0.5,-0.4,97.8,99.1,-0.2,-0.16,0 days 00:52:56
143131989,07/03/2023 11:05,07/06/2023 08:58,CADCHF,Sell,0.080,0.00000,0.00000,0.67737,0.67535,0.0000,0.0,20.2,17.91,0.4,Sell Baby Termite: CADCHF,12345.0,64.0,1d 20h ,28.2,0.63,23.3,20.737,-14.6,-12.994,61.5,91.8,-3.1,-2.76,2 days 21:52:58
143132578,07/03/2023 12:10,07/03/2023 16:33,USDCHF,Sell,0.080,0.00000,0.00000,0.89904,0.89704,0.0000,0.0,20.0,17.75,0.42,Sell Baby Termite: USDCHF,12345.0,39.2,1h 43m,12.9,0.62,20.2,17.977999999999998,-12.5,-11.125,61.8,99.4,-0.2,-0.18,0 days 04:23:20
143080820,06/30/2023 12:45,06/30/2023 15:30,CADCHF,Sell,0.080,0.00000,0.00000,0.67973,0.67775,0.0000,0.0,19.8,17.53,0.41,Sell Baby Termite: CADCHF,12345.0,74.6,2h 3m,9.5,0.27,19.8,17.622,-5.3,-4.717,78.9,100.0,0.0,0.0,0 days 02:45:22
143081913,06/30/2023 13:00,06/30/2023 15:30,USDCHF,Sell,0.080,0.00000,0.00000,0.90156,0.89937,0.0000,0.0,21.9,19.39,0.46,Sell Baby Termite: USDCHF,12345.0,96.7,2h 25m,8.9,0.02,23.1,20.559,-0.4,-0.356,98.3,94.9,-1.2,-1.07,0 days 02:30:07
142981059,06/28/2023 10:15,06/30/2023 11:09,NZDCHF,Buy,0.080,0.00000,0.00000,0.54604,0.54784,0.0000,0.0,18.0,15.91,0.38,Buy Baby Termite: NZDCHF,12345.0,18.8,9h 11m,20.6,0.95,19.2,16.896,-18.2,-16.016,51.3,96.8,-1.2,-1.06,2 days 00:54:19
143017330,06/29/2023 07:15,06/29/2023 10:17,EURUSD,Buy,0.080,0.00000,0.00000,1.08915,1.09126,0.0000,0.0,21.1,16.88,0.4,Buy Baby Termite: EURUSD,12345.0,47.6,1h 26m,10.4,0.46,22.7,18.16,-10.4,-8.32,68.6,95.2,-1.6,-1.28,0 days 03:02:20
142981701,06/28/2023 11:10,06/28/2023 17:43,EURNZD,Sell,0.080,0.00000,0.00000,1.79653,1.79308,0.0000,0.0,34.5,16.73,0.4,Sell Baby Termite: EURNZD,12345.0,8.7,34m,57.1,0.89,45.5,21.84,-40.3,-19.344,53.0,87.2,-11.0,-5.28,0 days 06:33:13
142951694,06/27/2023 14:50,06/27/2023 16:19,EURNZD,Sell,0.080,0.00000,0.00000,1.77479,1.77143,0.0000,0.0,33.6,16.56,0.4,Sell Baby Termite: EURNZD,12345.0,97.8,1h 27m,19.2,0.05,36.3,17.787,-1.8,-0.882,95.3,92.9,-2.7,-1.32,0 days 01:29:08
142882170,06/23/2023 09:05,06/27/2023 13:55,EURUSD,Buy,0.080,0.00000,0.00000,1.09294,1.09503,0.0000,0.0,20.9,16.72,0.4,Buy Baby Termite: EURUSD,12345.0,4.6,4h 38m,81.5,3.58,22.6,18.08,-80.9,-64.72000000000001,21.8,98.4,-1.7,-1.36,4 days 04:50:32
142944726,06/27/2023 08:15,06/27/2023 12:13,NZDCHF,Sell,0.080,0.00000,0.00000,0.55382,0.55203,0.0000,0.0,17.9,15.92,0.39,Sell Baby Termite: NZDCHF,12345.0,53.0,2h 6m,8.9,0.35,20.5,18.245,-7.2,-6.408,74.0,90.6,-2.6,-2.31,0 days 03:58:22
142944725,06/27/2023 08:15,06/27/2023 11:08,EURNZD,Buy,0.080,0.00000,0.00000,1.76501,1.76835,0.0000,0.0,33.4,16.45,0.4,Buy Baby Termite: EURNZD,12345.0,48.6,1h 24m,18.7,0.33,39.3,19.257,-13.1,-6.419,75.0,88.7,-5.9,-2.89,0 days 02:53:19
142917245,06/26/2023 14:10,06/26/2023 17:11,USDCHF,Buy,0.080,0.00000,0.00000,0.89259,0.89443,0.0000,0.0,18.4,16.38,0.4,Buy Baby Termite: USDCHF,12345.0,49.5,1h 29m,12.8,0.55,20.3,18.067,-11.2,-9.968,64.4,94.0,-1.9,-1.69,0 days 03:01:44
142891993,06/23/2023 16:35,06/23/2023 18:20,NZDCHF,Buy,0.080,0.00000,0.00000,0.54914,0.55097,0.0000,0.0,18.3,16.23,0.4,Buy Baby Termite: NZDCHF,12345.0,98.1,1h 43m,6.8,0.05,18.6,16.554000000000002,-1.0,-0.89,94.9,98.5,-0.3,-0.27,0 days 01:45:37
